Tweet,Sentiment
సూపర్ సినిమా,1.0
వావ్ నాకు అర్థం కాలేదు కానీ ఇప్పటికీ హోస్ట్‌ని ఎంజాయ్ చేస్తున్నాను ఆమె బాగా చేసారు అద్భుతమైన సినిమా రాజమోలి సార్ అద్భుతం,1.0
అసలు సమయం ఒక అర్దం కాలేదు ఉత్తమ సినిమా,1.0
నాకు చల్లా బాగ నచ్ధీ ఇ ఎటర్ యూ,1.0
వావ్ ఏ సినిమా చాలా బాగుంది,1.0
అద్భుతమైన సినిమా,1.0
ఎంజాయ్ చేస్తున్నాను ఉల్లాసంగా,1.0
కనీసం సబ్ టైటిల్స్ పెట్టండిఉత్తర అభిమానులు ఎలా అర్థం చేసుకుంటారు,1.0
జై ఎన్టీఆర్ అన్న,1.0
అందరూ చాలా విచిత్రంగా సృజనాత్మకంగా ఉన్నారు,1.0
నేను దీన్ని చాలా చూడాలనుకుంటున్నాను,1.0
సూపర్ అన్నా,1.0
ఎంవి చూసాకా చూస్తున్నా ఎంవి సప్పర్❤,1.0
చాలా వినోదాత్మకంగా మరియు నవ్వుతూ,1.0
అద్భుతమైన,1.0
చాలా ఎంజాయ్ చేసాము సార్,1.0
ఆ సినిమాలోని కొమరం భీముడో పాట నుంచి ఇంకా బయటకు రాలేకపోతున్నాను రామ్ అన్న చేతిలో ఎన్టీఆర్ అన్న దెబ్బలు తింటుంటే నా కళ్లలో నీళ్లు తిరిగాయి,1.0
రాజమౌళి తెలుగు చిత్ర పరిశ్రమలో నోలన్,1.0
దయచేసి మీరు ఆంగ్ల ఉపశీర్షికను జోడించగలరా<> అంతర్జాతీయ అభిమాని మాకు అర్థం కాలేదు<>కానీ అక్కడ సంతోషకరమైన ముఖం చూడాలని నేను ఇప్పటికీ చూస్తున్నాను,1.0
నాకు ఈ భాష అర్థం కాలేదు కానీ నేను ఈ ఇంటర్వ్యూని ఆస్వాదించాను ఎక్స్‌ప్రెషన్స్ కానీ రామ్‌చరణ్ ఎప్పుడూ ఎందుకు తక్కువ మాట్లాడతాడు నేను అతని వాయిస్‌ని ప్రేమిస్తున్నాను ❤,1.0
అందమైన వ్యక్తీకరణ తారక్,1.0
జై ఎన్టీఆర్ <>జై జై జై ఎన్టీఆర్,1.0
ముందు మృగం మరియు జెర్సీ <>నిలువలేదు,1.0
ఏం చెప్పాలో నాకు తెలియదు<>కానీ నేను మీ ఇద్దరి అభిమానిని,1.0
నాకు అర్థం కాలేదు కానీ ఇంకా ఆనందిస్తున్నాను,1.0
నేను హిందీ మాట్లాడే ప్రతిసారీ నవ్వుతాను ఈ వ్యక్తులు చాలా విషయాలు అర్థం చేసుకోకుండా నవ్వుతున్నారు నేను రామ్ చరణ్‌ని ప్రేమిస్తున్నాను ❤️❤️ నుండి ప్రేమ,1.0
జై పాన్ ఇండియా టైగర్,1.0
రాజమౌళి దర్శకత్వం వహించారు;<> అనే పదాలు సినిమా బ్లాక్ బస్టర్ కావడానికి సరిపోతాయి,1.0
ఓన్లీ సినిమా చూడాలి అందరు హీరోలు లేరు అందరు చూడాలి ఐకానిక్ సినిమా,1.0
హీరో ఎన్ డైరెక్టర్ సార్ అనుకుంటారుకానీ రాజమౌళి ఎన్ ఎన్టీఆర్ ఆడు వీడు అనుకునే బాండింగ్ సూపర్,1.0
గొప్ప నటులు ఎన్డీ రాజ్ మౌళి సర్,1.0
ఏదైనా కేజీఎఫ్ అభిమానులు,1.0
రెడ్ షర్ట్ లో చెర్రీ రియాక్షన్ అద్భుతంగా ఉంది,1.0
సినిమా బ్లాక్ బస్టర్,1.0
సినిమా సూపర్,1.0
అంత బాగుండి,1.0
ఎంతైనా ఎన్టీఆర్ అన్న ఎన్టీఆర్ అన్ననే ❤️,1.0
ఈ షార్ట్ ఫిల్మ్ <>తెలుగు కామెడి షార్ట్ ఫిలిం లో పుష్ప డాన్స్ <>అల్టిమేట్ తెలుగు కామెడీ కొత్త షార్ట్ ఫిల్మ్ <> నవ్వు ఆపుకోలేరు <>< =,1.0
జూనియర్ ఎన్టీఆర్ ❤️,1.0
హలో అబ్బాయిలు నేను ఇప్పటికే సార్లు చూశా సినిమా మళ్లీ వెలుతున్న ఈరోజు బుర్రపాడు సినిమా అయితే ఒక్కటి ☝️ విషయం ఇంత డెడికేషన్ తీసుకున్న రాజమౌళి సర్ ఎందుకు ఎన్టీఆర్ సార్ ఒక సీన్ మేధా కొంచెం దృష్టి పెట్టలేదు ఆది కొంచెం అనిపించే సీన్లు చాలా ఉన్నాయి,1.0
ఎంత పెద్ద పులి అయినా తల్లి దగ్గర పిల్ల ఆటలే అన్నట్టు ఎన్టీఆర్ కి జక్కన్న తోటి అట్లే,1.0
అప్పుడప్పుడు కోపం వచ్చినప్పుడు నా ప్రకాశం యాసలోకి జారుకుంటాను,1.0
దయచేసి మీమ్ వీడియో యొక్క వ భాగాన్ని తీసుకురండి<>ఇది చాలా సరదాగా ఉంది,1.0
దయచేసి ఎన్టీఆర్ అన్న నీ జీవితంలో ఆ దొంగ రాజమౌళి తో సినిమా చేయొద్దు ప్లీజ్ అన్న మళ్ళీ మోసపోవద్దు,1.0
మా ఎన్టీఆర్ అన్నని నమ్మించి మోసం చేసాడు రాజమౌళి ఎందుకంటే రాజమౌళి కి ఫస్ట్ సినిమా డైరెక్టర్ గా అవకాశం ఇచ్చాడు కదా మా అన్న ఎన్టీఆర్ అన్న,1.0
చెత్తగా ఉంది,1.0
జనని పాట సినిమా లో ఉందా లేదు,1.0
మీకు మీరే డబ్బా,1.0
సూపర్,1.0
మంచిది,1.0
జై ఎన్టీఆర్,1.0
సినిమా మూడు భాగాలుగా విడుదలై ఉండవచ్చు అలా అయితే బాగుండేది ఫ్రాంచైజ్ కాదు సిరీస్‌గా వచ్చి ఉండవచ్చు,1.0
మంచి ఇంటర్వ్యూ నేను ఆనందించాను,1.0
